code,description
8471.50.30,"De grande capacidade, podendo conter no máximo uma unidade de entrada e outra de saída da subposição 8471.60, com capacidade de instalação interna, ou em módulos separados do gabinete do processador central, de unidades de memória da subposição 8471.70, e valor FOB superior a US$ 46.000,00, mas não superior a US$ 100.000,00, por unidade"
8471.50.40,"De muito grande capacidade, podendo conter no máximo uma unidade de entrada e outra de saída da subposição 8471.60, com capacidade de instalação interna, ou em módulos separados do gabinete do processador central, de unidades de memória da subposição 8471.70, e valor FOB superior a US$ 100.000,00, por unidade"
8471.50.90,Outras
8471.60,"- Unidades de entrada ou de saída, podendo conter, no mesmo corpo, unidades de memória"
8471.60.5,Unidades de entrada
8471.60.52,Teclados
8471.60.53,"Indicadores ou apontadores (mouse e track-ball, por exemplo)"
8471.60.54,Mesas digitalizadoras
8471.60.59,Outras
8471.60.6,"Aparelhos terminais que tenham, pelo menos, uma unidade de entrada por teclado alfanumérico e uma unidade de saída por vídeo (terminais de vídeo)"
8471.60.61,Com unidade de saída por vídeo monocromático
8471.60.62,Com unidade de saída por vídeo policromático
8471.60.80,Terminais de auto-atendimento bancário
8471.60.90,Outras
8471.70,- Unidades de memória
8471.70.10,De discos magnéticos
8471.70.20,De discos para leitura ou gravação de dados por meios ópticos (unidade de disco óptico)
8471.70.30,De fitas magnéticas
8471.70.40,De estado sólido (SSD - Solid-State Drive)
8471.70.90,"Outras, incluídas as combinações de unidades de, pelo menos, dois dos itens precedentes"
8471.80.00,- Outras unidades de máquinas automáticas para processamento de dados
8471.90,- Outros
8471.90.1,Leitores ou gravadores
8471.90.11,De cartões magnéticos
8471.90.12,Leitores de códigos de barras
8471.90.13,Leitores de caracteres magnetizáveis
8471.90.14,Digitalizadores de imagens (scanners)
8471.90.19,Outros
8471.90.90,Outros
84.72,"Outras máquinas e aparelhos de escritório (por exemplo, duplicadores hectográficos ou a estêncil, máquinas para imprimir endereços, distribuidores automáticos de notas (papéis-moeda), máquinas para selecionar, contar ou empacotar moedas, máquinas apontadoras de lápis (apara-lápis), perfuradores ou grampeadores (agrafadores*))."
8472.10.00,- Duplicadores
8472.30,"- Máquinas para selecionar, dobrar, envelopar ou cintar correspondência, máquinas para abrir, fechar ou lacrar correspondência e máquinas para colar ou obliterar selos"
8472.30.10,Máquinas automáticas para obliterar selos postais
8472.30.20,Máquinas automáticas para seleção de correspondência por formato e classificação e distribuição da mesma por leitura óptica do código postal
8472.30.30,"Máquinas automáticas para seleção e distribuição de encomendas, por leitura óptica do código postal"
8472.30.90,Outras
8472.90,- Outros
8472.90.10,"Distribuidores (dispensadores) automáticos de notas (papéis-moeda), incluindo os que efetuam outras operações bancárias"
8472.90.20,"Máquinas do tipo utilizado em caixas de banco, com dispositivo para autenticar"
8472.90.30,Máquinas para selecionar e contar moedas ou notas (papéis-moeda)
8472.90.40,"Máquinas apontadoras de lápis (apara-lápis), perfuradores, grampeadores e desgrampeadores"
8472.90.5,"Classificadoras automáticas de documentos, com leitores ou gravadores do item 8471.90.1 incorporados"
8472.90.51,Com capacidade de classificação superior a 400 documentos por minuto
8472.90.59,Outras
8472.90.9,Outros
8472.90.91,Máquinas para imprimir endereços ou para estampar placas de endereços
8472.90.99,Outros
84.73,"Partes e acessórios (exceto estojos, capas e semelhantes) reconhecíveis como exclusiva ou principalmente destinados às máquinas ou aparelhos das posições 84.70 a 84.72."
8473.2,- Partes e acessórios das máquinas da posição 84.70:
8473.21.00,"-- Das calculadoras eletrônicas das subposições 8470.10, 8470.21 ou 8470.29"
8473.29,-- Outros
8473.29.10,"Circuitos impressos com componentes elétricos ou eletrônicos, montados, para caixas registradoras"
8473.29.20,De máquinas da subposição 8470.30
8473.29.90,Outros
8473.30,- Partes e acessórios das máquinas da posição 84.71
8473.30.1,"Gabinete, mesmo com módulo display numérico, fonte de alimentação incorporada ou ambos"
8473.30.11,"Com fonte de alimentação, mesmo com módulo display numérico"
8473.30.19,Outros
8473.30.3,"De unidades de discos magnéticos ou de fitas magnéticas, exceto as do item 8473.30.4"
8473.30.31,"Conjuntos cabeça-disco (HDA - Head Disk Assembly) de unidades de discos rígidos, montados"
8473.30.32,Braços posicionadores de cabeças magnéticas
8473.30.33,Cabeças magnéticas
8473.30.34,Mecanismos bobinadores para unidades de fitas magnéticas (magnetic tape transporter)
8473.30.39,Outras
8473.30.4,"Circuitos impressos com componentes elétricos ou eletrônicos, montados"
8473.30.41,Placas-mãe (mother boards)
8473.30.42,Placas (módulos) de memória com uma superfície inferior ou igual a 50 cm2
8473.30.49,Outros
8473.30.90,Outros
8473.40,- Partes e acessórios das máquinas da posição 84.72
8473.40.10,"Circuitos impressos com componentes elétricos ou eletrônicos, montados"
8473.40.70,Outras partes e acessórios das máquinas dos itens 8472.90.10 ou 8472.90.20
8473.40.90,Outros
8473.50,- Partes e acessórios que possam ser utilizados indiferentemente com as máquinas ou aparelhos de duas ou mais das posições 84.70 a 84.72
8473.50.10,"Circuitos impressos com componentes elétricos ou eletrônicos, montados"
8473.50.40,Cabeças magnéticas
8473.50.50,Placas (módulos) de memória com uma superfície inferior ou igual a 50 cm2
8473.50.90,Outros
84.74,"Máquinas e aparelhos para selecionar, peneirar, separar, lavar, esmagar, moer, misturar ou amassar terras, pedras, minérios ou outras substâncias minerais sólidas (incluindo os pós e pastas); máquinas para aglomerar ou moldar combustíveis minerais sólidos, pastas cerâmicas, cimento, gesso ou outras matérias minerais em pó ou em pasta; máquinas para fazer moldes de areia para fundição."
8474.10.00,"- Máquinas e aparelhos para selecionar, peneirar, separar ou lavar"
8474.20,"- Máquinas e aparelhos para esmagar, moer ou pulverizar"
8474.20.10,De bolas
8474.20.90,Outros
8474.3,- Máquinas e aparelhos para misturar ou amassar:
8474.31.00,-- Betoneiras e aparelhos para amassar cimento
8474.32.00,-- Máquinas para misturar matérias minerais com betume
8474.39.00,-- Outros
8474.80,- Outras máquinas e aparelhos
8474.80.10,Para fazer moldes de areia para fundição
8474.80.90,Outras
8474.90.00,- Partes
84.75,"Máquinas para montagem de lâmpadas, tubos ou válvulas, elétricos ou eletrônicos, ou de lâmpadas de luz relâmpago (flash), que tenham invólucro de vidro; máquinas para fabricação ou trabalho a quente do vidro ou das suas obras."
8475.10.00,"- Máquinas para montagem de lâmpadas, tubos ou válvulas, elétricos ou eletrônicos, ou de lâmpadas de luz relâmpago (flash), que tenham invólucro de vidro"
8475.2,- Máquinas para fabricação ou trabalho a quente do vidro ou das suas obras:
8475.21.00,-- Máquinas para fabricação de fibras ópticas e de seus esboços
8475.29,-- Outras
8475.29.10,"Para fabricação de recipientes da posição 70.10, exceto ampolas"
8475.29.90,Outras
8475.90.00,- Partes
84.76,"Máquinas automáticas de venda de produtos (por exemplo, selos, cigarros, alimentos ou bebidas), incluindo as máquinas de trocar dinheiro."
8476.2,- Máquinas automáticas de venda de bebidas:
8476.21.00,-- Com dispositivo de aquecimento ou de refrigeração incorporado
8476.29.00,-- Outras
8476.8,- Outras máquinas:
8476.81.00,-- Com dispositivo de aquecimento ou de refrigeração incorporado
8476.89,-- Outras
8476.89.10,Máquinas automáticas de venda de selos postais
8476.89.90,Outras
8476.90.00,- Partes
84.77,"Máquinas e aparelhos para trabalhar borracha ou plástico ou para fabricação de produtos dessas matérias, não especificados nem compreendidos noutras posições deste Capítulo."
8477.10,- Máquinas de moldar por injeção
8477.10.1,"Horizontais, de comando numérico"
8477.10.11,"Monocolor, para materiais termoplásticos, com capacidade de injeção inferior ou igual a 5.000 g e força de fechamento inferior ou igual a 12.000 kN"
8477.10.19,Outras
8477.10.2,Outras horizontais
8477.10.21,"Monocolor, para materiais termoplásticos, com capacidade de injeção inferior ou igual a 5.000 g e força de fechamento inferior ou igual a 12.000 kN"
8477.10.29,Outras
8477.10.9,Outras
8477.10.91,De comando numérico
8477.10.99,Outras
8477.20,- Extrusoras
8477.20.10,"Para materiais termoplásticos, de diâmetro da rosca inferior ou igual a 300 mm"
8477.20.90,Outras
8477.30,- Máquinas de moldar por insuflação
8477.30.10,"Para fabricação de recipientes termoplásticos de capacidade inferior ou igual a 5 l, com uma produção inferior ou igual a 1.000 unidades por hora, referente a recipiente de 1 l"
8477.30.90,Outras
8477.40,- Máquinas de moldar a vácuo e outras máquinas de termoformar
8477.40.10,De moldar a vácuo poliestireno expandido (EPS) ou polipropileno expandido (EPP)
8477.40.90,Outras
8477.5,- Outras máquinas e aparelhos para moldar ou dar forma:
8477.51.00,-- Para moldar ou recauchutar pneumáticos ou para moldar ou dar forma a câmaras de ar
8477.59,-- Outros
8477.59.1,Prensas
8477.59.11,Com capacidade inferior ou igual a 30.000 kN
8477.59.19,Outras
8477.59.90,Outras
8477.80,- Outras máquinas e aparelhos
8477.80.10,"Máquina de unir lâminas de borracha entre si ou com tecidos com borracha, para fabricação de pneumáticos"
8477.80.90,Outras
8477.90.00,- Partes
84.78,"Máquinas e aparelhos para preparar ou transformar tabaco, não especificados nem compreendidos noutras posições deste Capítulo."
8478.10,- Máquinas e aparelhos
8478.10.10,Batedoras-separadoras automáticas de talos e folhas
8478.10.90,Outros
8478.90.00,- Partes
84.79,"Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo."
8479.10,"- Máquinas e aparelhos para obras públicas, construção civil ou trabalhos semelhantes"
8479.10.10,Automotrizes para espalhar e calcar pisos (pavimentos) betuminosos
8479.10.90,Outros
8479.20.00,"- Máquinas e aparelhos para extração ou preparação de óleos ou gorduras vegetais ou de origem microbiana, fixos, ou de animais"
8479.30.00,"- Prensas para fabricação de painéis de partículas, de fibras de madeira ou de outras matérias lenhosas, e outras máquinas e aparelhos para tratamento de madeira ou de cortiça"
8479.40.00,- Máquinas para fabricação de cordas ou cabos
8479.50.00,"- Robôs industriais, não especificados nem compreendidos noutras posições"
8479.60.00,- Aparelhos de evaporação para arrefecimento do ar
8479.7,- Pontes de embarque para passageiros:
8479.71.00,-- Do tipo utilizado em aeroportos
8479.79.00,-- Outras
8479.8,- Outras máquinas e aparelhos:
8479.81,"-- Para tratamento de metais, incluindo as bobinadoras para enrolamentos elétricos"
8479.81.10,"Diferenciadores das tensões de tração de entrada e saída da chapa, em instalações de galvanoplastia"
8479.81.90,Outros
8479.82,"-- Para misturar, amassar, esmagar, moer, separar, peneirar, homogeneizar, emulsionar ou agitar"
8479.82.10,Misturadores
8479.82.90,Outros
8479.83.00,-- Prensas isostáticas a frio
8479.89,-- Outros
8479.89.1,Prensas; distribuidores e doseadores de sólidos ou de líquidos
8479.89.11,Prensas
8479.89.12,Distribuidores e doseadores de sólidos ou de líquidos
8479.89.2,"Máquinas e aparelhos para cestaria ou espartaria; máquinas e aparelhos para fabricação de pincéis, brochas e escovas"
8479.89.21,Máquinas e aparelhos para cestaria ou espartaria
8479.89.22,"Máquinas e aparelhos para fabricação de pincéis, brochas ou escovas"
8479.89.3,"Limpadores de para-brisas elétricos e acumuladores hidráulicos, para aeronaves"
8479.89.31,Limpadores de para-brisas
8479.89.32,Acumuladores
8479.89.40,"Silos metálicos para cereais, fixos (não transportáveis), incluindo as baterias, com mecanismos elevadores ou extratores incorporados"
8479.89.9,Outros
8479.89.91,Aparelhos para limpar peças por ultrassom
8479.89.92,Máquinas de leme para embarcações
8479.89.99,Outros
8479.90,- Partes
8479.90.10,De limpadores de para-brisas elétricos ou de acumuladores hidráulicos para aeronaves
8479.90.90,Outras
84.80,"Caixas de fundição; placas de fundo para moldes; modelos para moldes; moldes para metais (exceto lingoteiras), carbonetos metálicos, vidro, matérias minerais, borracha ou plástico."
8480.10.00,- Caixas de fundição
8480.20.00,- Placas de fundo para moldes
8480.30.00,- Modelos para moldes
8480.4,- Moldes para metais ou carbonetos metálicos:
8480.41.00,-- Para moldagem por injeção ou por compressão
8480.49,-- Outros
8480.49.10,Coquilhas
8480.49.90,Outros
8480.50.00,- Moldes para vidro
8480.60.00,- Moldes para matérias minerais
8480.7,- Moldes para borracha ou plástico:
8480.71.00,-- Para moldagem por injeção ou por compressão
8480.79,-- Outros
8480.79.10,Para vulcanização de pneumáticos
8480.79.90,Outros
84.81,"Torneiras, válvulas (incluindo as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes."
8481.10.00,- Válvulas redutoras de pressão
8481.20,- Válvulas para transmissões óleo-hidráulicas ou pneumáticas
8481.20.1,"Rotativas, de caixas de direção hidráulica"
8481.20.11,Com pinhão
8481.20.19,Outras
8481.20.90,Outras
8481.30.00,- Válvulas de retenção
8481.40.00,- Válvulas de segurança ou de alívio
8481.80,- Outros dispositivos
8481.80.1,Do tipo utilizado em banheiros ou cozinhas
8481.80.11,Válvulas para escoamento
8481.80.19,Outros
8481.80.2,Do tipo utilizado em refrigeração
8481.80.21,Válvulas de expansão termostáticas ou pressostáticas
8481.80.29,Outros
8481.80.3,Do tipo utilizado em equipamentos a gás
8481.80.31,"Com uma pressão de trabalho inferior ou igual a 50 mbar e dispositivo de segurança termoelétrico incorporado, do tipo utilizado em aparelhos domésticos"
8481.80.39,Outros
8481.80.9,Outros
8481.80.91,Válvulas tipo aerossol
8481.80.92,Válvulas solenoides
8481.80.93,Válvulas tipo gaveta
8481.80.94,Válvulas tipo globo
8481.80.95,Válvulas tipo esfera
8481.80.96,Válvulas tipo macho
8481.80.97,Válvulas tipo borboleta
8481.80.99,Outros
8481.90,- Partes
8481.90.10,De válvulas tipo aerossol ou dos dispositivos do item 8481.80.1
8481.90.90,Outras
84.82,"Rolamentos de esferas, de roletes ou de agulhas."
8482.10,- Rolamentos de esferas
8482.10.10,De carga radial
8482.10.90,Outros
8482.20,"- Rolamentos de roletes cônicos, incluindo os conjuntos constituídos por cones e roletes cônicos"
8482.20.10,De carga radial
8482.20.90,Outros
8482.30.00,- Rolamentos de roletes em forma de tonel
8482.40.00,"- Rolamentos de agulhas, incluindo as montagens de gaiolas e agulhas"
8482.50,"- Rolamentos de roletes cilíndricos, incluindo as montagens de gaiolas e roletes"
8482.50.10,De carga radial
8482.50.90,Outros
8482.80.00,"- Outros, incluindo os rolamentos combinados"
8482.9,- Partes:
8482.91,"-- Esferas, roletes e agulhas"
8482.91.1,Esferas de aço calibradas
8482.91.11,Para carga de canetas esferográficas
8482.91.19,Outras
8482.91.20,Roletes cilíndricos
8482.91.30,Roletes cônicos
8482.91.90,Outros
8482.99,-- Outras
8482.99.10,"Selos, capas e porta-esferas de aço"
8482.99.90,Outras
84.83,"Árvores (veios) de transmissão (incluindo as árvores de cames e virabrequins (cambotas)) e manivelas; mancais (chumaceiras) e ""bronzes""; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindo os conversores de torque (binários*); volantes e polias, incluindo as polias para cadernais; embreagens e dispositivos de acoplamento, incluindo as juntas de articulação."
8483.10,- Árvores (veios) de transmissão (incluindo as árvores de cames e virabrequins (cambotas)) e manivelas
8483.10.1,Virabrequins
8483.10.11,"Forjados, de peso igual ou superior a 900 kg e comprimento igual ou superior a 2.000 mm"
8483.10.19,Outros
8483.10.20,Árvores de cames para comando de válvulas
8483.10.30,Veios flexíveis
8483.10.40,Manivelas
8483.10.50,"Árvores de transmissão providas de acoplamentos dentados com entalhes de proteção contra sobrecarga, de comprimento igual ou superior a 1500 mm e diâmetro do eixo igual ou superior a 400 mm"
8483.10.90,Outras
8483.20.00,- Mancais (chumaceiras) com rolamentos incorporados
8483.30,"- Mancais (chumaceiras) sem rolamentos; ""bronzes"""
8483.30.10,"Montados com ""bronzes"" de metal antifricção"
8483.30.2,"""Bronzes"""
8483.30.21,De diâmetro interno igual ou superior a 200 mm
8483.30.29,Outros
8483.30.90,Outros
8483.40,"- Engrenagens e rodas de fricção, exceto rodas dentadas simples e outros elementos de transmissão apresentados separadamente; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindo os conversores de torque (binários*)"
8483.40.10,"Redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindo os conversores de torque"
8483.40.90,Outros
8483.50,"- Volantes e polias, incluindo as polias para cadernais"
8483.50.10,"Polias, exceto as de rolamentos reguladoras de tensão"
8483.50.90,Outros
8483.60,"- Embreagens e dispositivos de acoplamento, incluindo as juntas de articulação"
8483.60.1,Embreagens
8483.60.11,De fricção
8483.60.19,Outras
8483.60.90,Outros
8483.90.00,- Rodas dentadas e outros elementos de transmissão apresentados separadamente; partes
84.84,"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas."
8484.10.00,- Juntas metaloplásticas
8484.20.00,- Juntas de vedação mecânicas
8484.90.00,- Outros
84.85,Máquinas para fabricação aditiva.
8485.10.00,- Por depósito de metal
8485.20.00,- Por depósito de plástico ou de borracha
8485.30.00,"- Por depósito de gesso, cimento, cerâmica ou de vidro"
8485.80.00,- Outras
8485.90.00,- Partes
84.86,"Máquinas e aparelhos do tipo utilizado exclusiva ou principalmente na fabricação de boules ou wafers de material semicondutor, dispositivos semicondutores, circuitos integrados eletrônicos ou de dispositivos de visualização de tela (ecrã*) plana; máquinas e aparelhos especificados na Nota 11 C) do presente Capítulo; partes e acessórios."
8486.10.00,- Máquinas e aparelhos para fabricação de boules ou wafers
8486.20.00,- Máquinas e aparelhos para fabricação de dispositivos semicondutores ou de circuitos integrados eletrônicos
8486.30.00,- Máquinas e aparelhos para fabricação de dispositivos de visualização de tela (ecrã*) plana
8486.40.00,- Máquinas e aparelhos especificados na Nota 11 C) do presente Capítulo
8486.90.00,- Partes e acessórios
84.87,"Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutras posições do presente Capítulo, que não contenham conexões elétricas, partes isoladas eletricamente, bobinas, contatos nem quaisquer outros elementos com características elétricas."
8487.10.00,- Hélices para embarcações e suas pás
8487.90.00,- Outras
85,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios."
85.01,"Motores e geradores, elétricos, exceto os grupos eletrogêneos."
8501.10,"- Motores de potência não superior a 37,5 W"
8501.10.1,De corrente contínua
8501.10.11,"De passo não superior a 1,8°"
8501.10.19,Outros
8501.10.2,De corrente alternada
8501.10.21,Síncronos
8501.10.29,Outros
8501.10.30,Universais
8501.20.00,"- Motores universais de potência superior a 37,5 W"
8501.3,"- Outros motores de corrente contínua; geradores de corrente contínua, exceto os geradores fotovoltaicos:"
8501.31,-- De potência não superior a 750 W
8501.31.10,Motores
8501.31.20,Geradores
8501.32,"-- De potência superior a 750 W, mas não superior a 75 kW"
8501.32.10,Motores
8501.32.20,Geradores
8501.33,"-- De potência superior a 75 kW, mas não superior a 375 kW"
8501.33.10,Motores
8501.33.20,Geradores
8501.34,-- De potência superior a 375 kW
8501.34.1,Motores
8501.34.11,De potência não superior a 3.000 kW
8501.34.19,Outros
8501.34.20,Geradores
8501.40,"- Outros motores de corrente alternada, monofásicos"
8501.40.1,De potência não superior a 15 kW
8501.40.11,Síncronos
8501.40.19,Outros
8501.40.2,De potência superior a 15 kW
8501.40.21,Síncronos
8501.40.29,Outros
8501.5,"- Outros motores de corrente alternada, polifásicos:"
8501.51,-- De potência não superior a 750 W
8501.51.10,"Trifásicos, com rotor de gaiola"
8501.51.20,"Trifásicos, com rotor de anéis"
8501.51.90,Outros
8501.52,"-- De potência superior a 750 W, mas não superior a 75 kW"
8501.52.10,"Trifásicos, com rotor de gaiola"
8501.52.20,"Trifásicos, com rotor de anéis"
8501.52.90,Outros
8501.53,-- De potência superior a 75 kW
8501.53.10,"Trifásicos, de potência não superior a 7.500 kW"
8501.53.20,"Trifásicos, de potência superior a 7.500 kW, mas não superior a 30.000 kW"
8501.53.30,"Trifásicos, de potência superior a 30.000 kW, mas não superior a 50.000 kW"
8501.53.90,Outros
8501.6,"- Geradores de corrente alternada (alternadores), exceto os geradores fotovoltaicos:"
8501.61.00,-- De potência não superior a 75 kVA
8501.62.00,"-- De potência superior a 75 kVA, mas não superior a 375 kVA"
8501.63.00,"-- De potência superior a 375 kVA, mas não superior a 750 kVA"
8501.64.00,-- De potência superior a 750 kVA
8501.7,- Geradores fotovoltaicos de corrente contínua:
8501.71.00,-- De potência não superior a 50 W
8501.72,-- De potência superior a 50 W
8501.72.10,De potência não superior a 75 kW
8501.72.90,Outros
8501.80.00,- Geradores fotovoltaicos de corrente alternada
85.02,Grupos eletrogêneos e conversores rotativos elétricos.
8502.1,"- Grupos eletrogêneos de motor de pistão, de ignição por compressão (motores diesel ou semidiesel):"
8502.11,-- De potência não superior a 75 kVA
8502.11.10,De corrente alternada
8502.11.90,Outros
8502.12,"-- De potência superior a 75 kVA, mas não superior a 375 kVA"
8502.12.10,De corrente alternada
8502.12.90,Outros
8502.13,-- De potência superior a 375 kVA
8502.13.1,De corrente alternada
8502.13.11,De potência não superior a 430 kVA
8502.13.19,Outros
8502.13.90,Outros
8502.20,"- Grupos eletrogêneos de motor de pistão, de ignição por centelha (faísca) (motor de explosão)"
8502.20.1,De corrente alternada
8502.20.11,De potência não superior a 210 kVA
8502.20.19,Outros
8502.20.90,Outros
8502.3,- Outros grupos eletrogêneos:
8502.31.00,-- De energia eólica
8502.39.00,-- Outros
8502.40,- Conversores rotativos elétricos
8502.40.10,De frequência
8502.40.90,Outros
8503.00,Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas das posições 85.01 ou 85.02.
8503.00.10,"De motores ou geradores das subposições 8501.10, 8501.20, 8501.31, 8501.32 ou do item 8501.40.1"
8503.00.90,Outras
85.04,"Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução."
8504.10.00,- Reatores (Balastros*) para lâmpadas ou tubos de descarga
8504.2,- Transformadores de dielétrico líquido:
8504.21.00,-- De potência não superior a 650 kVA
8504.22.00,"-- De potência superior a 650 kVA, mas não superior a 10.000 kVA"
8504.23.00,-- De potência superior a 10.000 kVA
8504.3,- Outros transformadores:
8504.31,-- De potência não superior a 1 kVA
8504.31.1,Para frequências inferiores ou iguais a 60 Hz
8504.31.11,Transformadores de corrente
8504.31.19,Outros
8504.31.9,Outros
8504.31.91,"Transformador de saída horizontal (fly back), com tensão de saída superior a 18 kV e frequência de varredura horizontal igual ou superior a 32 kHz"
8504.31.92,"Transformadores de FI, de detecção, de relação, de linearidade ou de foco"
8504.31.93,"Outros, de largura e comprimento não superior a 50 mm e altura não superior a 25 mm, próprios para montagem por inserção (PTH - Pin Through Hole) ou montagem em superfície (SMD - Surface Mounted Device)"
8504.31.99,Outros
8504.32,"-- De potência superior a 1 kVA, mas não superior a 16 kVA"
8504.32.1,De potência não superior a 3 kVA
8504.32.11,Para frequências inferiores ou iguais a 60 Hz
8504.32.19,Outros
8504.32.2,De potência superior a 3 kVA
8504.32.21,Para frequências inferiores ou iguais a 60 Hz
8504.32.29,Outros
8504.33.00,"-- De potência superior a 16 kVA, mas não superior a 500 kVA"
8504.34.00,-- De potência superior a 500 kVA
8504.40,- Conversores estáticos
8504.40.10,Carregadores de acumuladores
8504.40.2,"Retificadores, exceto carregadores de acumuladores"
8504.40.21,De cristal (semicondutores)
8504.40.22,Eletrolíticos
8504.40.29,Outros
8504.40.30,Conversores de corrente contínua
8504.40.40,Equipamento de alimentação ininterrupta de energia (UPS ou no break)
8504.40.50,"Conversores eletrônicos de frequência, para variação de velocidade de motores elétricos"
8504.40.60,Aparelhos eletrônicos de alimentação de energia do tipo utilizado para iluminação de emergência
8504.40.90,Outros
8504.50,- Outras bobinas de reatância e de autoindução
8504.50.10,"De largura e comprimento não superior a 45 mm e altura não superior a 30 mm, próprias para montagem por inserção (PTH - Pin Through Hole) ou montagem em superfície (SMD - Surface Mounted Device)"
8504.50.90,Outras
8504.90,- Partes
8504.90.10,Núcleos de pó ferromagnético
8504.90.20,De reatores para lâmpadas ou tubos de descarga
8504.90.30,"De transformadores das subposições 8504.21, 8504.22, 8504.23, 8504.33 ou 8504.34"
8504.90.40,"De conversores estáticos, exceto de carregadores de acumuladores e de retificadores"
8504.90.90,Outras
85.05,"Eletroímãs; ímãs permanentes e artigos destinados a tornarem-se ímãs permanentes após magnetização; placas, mandris e dispositivos semelhantes, magnéticos ou eletromagnéticos, de fixação; acoplamentos, embreagens, variadores de velocidade e freios (travões), eletromagnéticos; cabeças de elevação eletromagnéticas."
8505.1,- Ímãs permanentes e artigos destinados a tornarem-se ímãs permanentes após magnetização:
8505.11.00,-- De metal
8505.19,-- Outros
8505.19.10,De ferrita (cerâmicos)
8505.19.90,Outros
8505.20,"- Acoplamentos, embreagens, variadores de velocidade e freios (travões), eletromagnéticos"
8505.20.10,"Freios (travões) que atuam por corrente de Foucault, do tipo utilizado nos veículos das posições 87.01 a 87.05"
8505.20.90,Outros
8505.90,"- Outros, incluindo as partes"
8505.90.1,Eletroímãs
8505.90.11,Do tipo utilizado em aparelhos de diagnóstico de imagem por ressonância magnética
8505.90.19,Outros
8505.90.80,Outros
8505.90.90,Partes
85.06,"Pilhas e baterias de pilhas, elétricas."
8506.10,- De dióxido de manganês
8506.10.1,Pilhas alcalinas
8506.10.11,"De tensão igual a 1,5 V, cilíndricas, do tipo LR14 (C)"
8506.10.12,"De tensão igual a 1,5 V, cilíndricas, do tipo LR20 (D)"
8506.10.19,Outras
8506.10.20,Outras pilhas
8506.10.3,Baterias de pilhas
8506.10.31,"Alcalinas, de tensão igual a 9 V"
8506.10.32,"Alcalinas, de tensão igual a 12 V"
8506.10.39,Outras
8506.30,- De óxido de mercúrio
8506.30.10,Com volume exterior não superior a 300 cm3
8506.30.90,Outras
8506.40,- De óxido de prata
8506.40.10,Com volume exterior não superior a 300 cm3
8506.40.90,Outras
8506.50,- De lítio
8506.50.10,Com volume exterior não superior a 300 cm3
8506.50.90,Outras
8506.60,- De ar-zinco
8506.60.10,Com volume exterior não superior a 300 cm3
8506.60.90,Outras
8506.80,- Outras pilhas e baterias de pilhas
8506.80.10,Com volume exterior não superior a 300 cm3
8506.80.90,Outras
8506.90.00,- Partes
85.07,"Acumuladores elétricos e seus separadores, mesmo de forma quadrada ou retangular."
8507.10,"- De chumbo, do tipo utilizado para o arranque dos motores de pistão"
8507.10.10,De capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V
8507.10.90,Outros
8507.20,- Outros acumuladores de chumbo
8507.20.10,De peso inferior ou igual a 1.000 kg
8507.20.90,Outros
8507.30,- De níquel-cádmio
8507.30.1,De peso inferior ou igual a 2.500 kg
8507.30.11,De capacidade inferior ou igual a 15 Ah
8507.30.19,Outros
8507.30.90,Outros
8507.50,- De níquel-hidreto metálico
8507.50.10,"De tensão igual a 1,2 V, cilíndricos do tipo HR6 (AA)"
8507.50.20,"De tensão igual a 1,2 V, cilíndricos do tipo HR03 (AAA)"
8507.50.90,Outros
8507.60.00,- De íon de lítio
8507.80.00,- Outros acumuladores
8507.90,- Partes
8507.90.10,Separadores
8507.90.20,"Recipientes de plástico, suas tampas e tampões"
8507.90.90,Outras
85.08,Aspiradores.
8508.1,- Com motor elétrico incorporado:
8508.11.00,-- De potência não superior a 1.500 W e cujo volume do reservatório não exceda 20 l
8508.19.00,-- Outros
8508.60.00,- Outros aspiradores
8508.70.00,- Partes
85.09,"Aparelhos eletromecânicos com motor elétrico incorporado, de uso doméstico, exceto os aspiradores da posição 85.08."
8509.40,- Trituradores (moedores) e misturadores de alimentos; espremedores de fruta ou de produtos hortícolas
8509.40.10,Liquidificadores
8509.40.20,Batedeiras
8509.40.30,Moedores de carne
8509.40.40,Extratores centrífugos de sucos
8509.40.50,"Aparelhos de funções múltiplas, providos de acessórios intercambiáveis, para processar alimentos"
8509.40.90,Outros
8509.80,- Outros aparelhos
